timestamp,bch_supply,bch_usd,bch_vol,btc_supply,btc_usd,btc_vol,eth_supply,eth_usd,eth_vol
1537309077.138,17355613.0,435.163347524,336231699.534156,17275025.0,6348.43437258,4107271301.99916,102042072.0,209.931094388,1828644052.60423
1537309137.138,17355613.0,435.163347524,336231699.534156,17275025.0,6348.43437258,4107271301.99916,102042072.0,209.931094388,1828644052.60423
1537309197.138,17355613.0,435.163347524,336231699.534156,17275025.0,6348.43437258,4107271301.99916,102042072.0,209.931094388,1828644052.60423
1537309257.138,17355638.0,435.231982204,336268792.422281,17275025.0,6360.06887033,4125161331.70461,102042381.0,210.252222858,1826355543.38484
1537309317.138,17355638.0,435.231982204,336268792.422281,17275025.0,6360.06887033,4125161331.70461,102042381.0,210.252222858,1826355543.38484
1537309377.138,17355638.0,435.231982204,336268792.422281,17275025.0,6360.06887033,4125161331.70461,102042381.0,209.978168701,1825299968.6343
1537309437.138,17355638.0,435.231982204,336268792.422281,17275025.0,6360.06887033,4125161331.70461,102042381.0,209.978168701,1825299968.6343
1537309497.138,17355638.0,435.231982204,336268792.422281,17275025.0,6360.06887033,4125161331.70461,102042381.0,209.978168701,1825299968.6343
1537309557.138,17355638.0,434.542751177,335705385.78986,17275025.0,6360.14908976,4122494945.32035,102042381.0,210.243615357,1824047926.04565
1537309617.138,17355638.0,434.542751177,335705385.78986,17275025.0,6360.14908976,4122494945.32035,102042381.0,210.243615357,1824047926.04565
1537309677.138,17355638.0,434.542751177,335705385.78986,17275025.0,6360.14908976,4122494945.32035,102042381.0,210.243615357,1824047926.04565
1537309737.138,17355638.0,436.571393031,336746804.744615,17275025.0,6366.84813473,4145621815.54009,102042381.0,210.599962707,1827932794.62027
1537309797.138,17355638.0,436.571393031,336746804.744615,17275025.0,6366.84813473,4145621815.54009,102042381.0,210.599962707,1827932794.62027
1537309857.138,17355638.0,436.571393031,336746804.744615,17275025.0,6366.84813473,4145621815.54009,102042381.0,210.599962707,1827932794.62027
1537309917.138,17355638.0,436.599662276,337281421.056987,17275025.0,6369.88040085,4151357462.58329,102042381.0,210.274692007,1825801499.706
1537309977.138,17355638.0,436.599662276,337281421.056987,17275025.0,6369.88040085,4151357462.58329,102042381.0,210.274692007,1825801499.706
1537310037.138,17355638.0,436.599662276,337281421.056987,17275025.0,6369.88040085,4151357462.58329,102042381.0,210.274692007,1825801499.706
1537310097.138,17355638.0,437.250309315,337604959.983097,17275025.0,6371.41260784,4155984527.84395,102042381.0,210.958161609,1827607698.75481
1537310157.138,17355638.0,437.250309315,337604959.983097,17275025.0,6371.41260784,4155984527.84395,102042381.0,210.958161609,1827607698.75481
1537310217.138,17355638.0,437.250309315,337604959.983097,17275025.0,6371.41260784,4155984527.84395,102042381.0,210.958161609,1827607698.75481
1537310277.138,17355638.0,437.462061504,337909520.533537,17275025.0,6370.80725671,4158799382.72373,102042381.0,211.123261027,1830439192.1482
1537310337.138,17355638.0,437.462061504,337909520.533537,17275025.0,6370.80725671,4158799382.72373,102042381.0,211.123261027,1830439192.1482
1537310397.138,17355638.0,437.462061504,337909520.533537,17275025.0,6370.80725671,4158799382.72373,102042381.0,211.123261027,1830439192.1482
1537310457.138,17355663.0,436.86937012,337351412.507015,17275025.0,6370.3007453,4161037447.37487,102042652.0,210.893924569,1831678389.31123
1537310517.138,17355663.0,436.86937012,337351412.507015,17275025.0,6370.3007453,4161037447.37487,102042652.0,210.893924569,1831678389.31123
1537310577.138,17355663.0,436.86937012,337351412.507015,17275025.0,6370.3007453,4161037447.37487,102042652.0,210.893924569,1831678389.31123
1537310637.138,17355663.0,437.258022268,337428375.958731,17275050.0,6373.81887969,4159485933.50668,102042652.0,210.832833465,1832498765.70849
1537310697.138,17355663.0,437.258022268,337428375.958731,17275050.0,6373.81887969,4159485933.50668,102042652.0,210.832833465,1832498765.70849
1537310757.138,17355663.0,437.258022268,337428375.958731,17275050.0,6373.81887969,4159485933.50668,102042652.0,210.832833465,1832498765.70849
1537310817.138,17355663.0,436.884810652,337005269.024704,17275050.0,6377.16662311,4157592462.17758,102042652.0,210.881599854,1831784950.15851
1537310877.138,17355663.0,436.884810652,337005269.024704,17275050.0,6377.16662311,4157592462.17758,102042652.0,210.881599854,1831784950.15851
1537310937.138,17355663.0,436.884810652,337005269.024704,17275050.0,6377.16662311,4157592462.17758,102042652.0,210.881599854,1831784950.15851
1537310997.138,17355663.0,436.394869696,336553162.49505,17275050.0,6377.84350251,4160067201.67324,102042652.0,210.826469966,1830532968.28096
1537311057.138,17355663.0,436.394869696,336553162.49505,17275050.0,6377.84350251,4160067201.67324,102042652.0,210.826469966,1830532968.28096
1537311117.138,17355663.0,436.394869696,336553162.49505,17275050.0,6377.84350251,4160067201.67324,102042652.0,210.826469966,1830532968.28096
1537311177.138,17355663.0,437.040227273,336717324.674993,17275050.0,6372.66582002,4162494460.91505,102042652.0,211.13107443,1830204126.93361
1537311237.138,17355663.0,437.040227273,336717324.674993,17275050.0,6372.66582002,4162494460.91505,102042652.0,211.13107443,1830204126.93361
1537311297.138,17355663.0,437.040227273,336717324.674993,17275050.0,6372.66582002,4162494460.91505,102042652.0,211.13107443,1830204126.93361
1537311357.138,17355663.0,436.781839427,336584130.525059,17275050.0,6373.9918572,4164482167.77029,102042652.0,211.239269055,1830238908.01039
1537311417.138,17355663.0,436.781839427,336584130.525059,17275050.0,6373.9918572,4164482167.77029,102042652.0,211.239269055,1830238908.01039
